en,md
i,主我
use,使用
year,年
time,時；時間
work,工作；功；作品
need,需要
day,日；天
want,慾求
state,國家；狀態
help,求助
right,右；右側
company,連
show,展示
world,世界
thing,物
service,服務；保養；禮拜；配種
game,對局
start,啟動；起動
call,呼叫；哨笛
play,局；放；遊戲
life,生命；壽命；年限
change,變化；變更；修改；變遷；變革
home,追蹤；本地的；起站
part,部分；零件
team,團隊；作業組
business,業務；商業；營業車；商務區
place,位；放；地方；地點；場所；通路
government,政府
report,報告；通報；報表
point,點；尖端；潘特
country,國別
school,學校；群；學校機構
information,資料；資訊；知識；訊息；信息
end,端末；繩頭
number,數；數量
set,套；安排；調整；設置；定位；設定；場景；集合；凝結
man,人；就位
child,兒童；幼兒
system,系；系統；體系；裝置；譜表
city,城市；都市
case,個案；病例；外殼
support,支持；支援；支架；支承；支座
family,科；系；族；家庭；家族；族系
group,組；屬；群；團體；大隊；群組
include,包含
area,區；面；區域；面積
month,月
student,學生
share,股份；犁頭
issue,問題；發出
mean,平均；均值；平均值；平均數
market,市場
create,建立；創造
offer,提供
program,計畫；方案；程式；節目單；節目手冊
put,放；期貨買賣
love,愛情
experience,經驗
name,名稱；姓名
plan,計畫；計劃；平面圖
post,柱；樁；支柱
member,件；段；肢；構體；構件
move,移動
public,公眾
community,社區；群落
lead,鉛；引線；導言；礦脈；導程
comment,評論；註釋
result,結果；成果
order,目；階；序；命令；等級；柱式
hold,保持；保留；船艙；停駐；持定；握持
health,衛生；健康
top,頂；頂端；陀螺；頂部；堤頂
house,家；房屋；內務
product,產品；產物
win,贏
lot,批
level,階；層次；音量；位準；水平線；水平儀；水準儀
problem,問題
pay,薪資
data,資料；數據
power,力；能力；權力；動力；功率
president,大學校長
days,日；日期；日份
news,新聞
water,水
base,鹼；底層；基座；基底；底座；鹼基；底面；片基；基極
read,讀取
project,計畫；專案；項目；專題；投影；投射；專案計畫；計畫專案；專案計劃
story,層
write,寫
turn,轉換；轉彎；同轉
times,乘；倍
question,問題；詢問
event,事件
police,警察
season,季
design,設計
party,集團
price,價格
process,突；處理；過程；程序；作用；歷程；製程；突起
line,行；線；管線；直線；譜線
children,子
receive,收取；接收
site,地點；網站；場域；廠址
book,圖書；預定
side,側；側面
job,工作；批；任務；批次；工件
center,中心
head,頭；落差；頸部；標題；水頭；高差；頭砂
course,層；方向；水道；航線；科目；航道；航向
return,報酬；回程；回傳
form,形；年級；形式；形狀；格式；模板；變型；曲式
cost,成本；費用
money,貨幣
build,建立
university,大學
law,法律；定律
feature,特色；特徵；圖徵
face,面；臉；面子；界面
study,研究；檢查；修業；練習曲
talk,通話；滑石
hand,手；手感
left,左
person,個人
note,註；音符；註解；備考
require,要求；需要；需求的
test,殼；測驗；試驗
development,發展；發生；開發；發育；顯影；發展部；顯像
cause,原因
hour,時；小時
rate,率；費率；速率
control,控制；管制；對照
food,食物
release,釋出；釋放；放手；放行；鬆開
increase,增加
car,車；汽車；車箱；礦車；吊艙
meet,與；交
media,媒體；媒介；中層；介質
list,串列；織邊
value,值；價值；明度
research,研究
view,視面；視圖；視像
record,紀錄；記錄；唱片；檔案
friend,朋友關係
deal,板材；買賣合約
account,客戶；帳戶；帳號
night,夜的
fact,事實
industry,工業
force,力
customer,客戶；顧客
policy,政策
video,錄影帶；視訊；錄像；視像
idea,觀念；構想
body,體；身體；主體；本文；物體；本體；布身；堤體
act,行為；法律
content,內容；含量
hope,希望
example,案例；範例
website,網站
states,狀態
technology,技術；工藝；技學
online,線上
send,發送
fall,下降；落差；瀑布；墜落；面紗；落砂
access,入口；出入口；存取
file,檔案；銼
security,安全；安全性；可靠性；安全保證
user,用戶；使用者
sign,症狀；符號；記號；徵象
type,型；模式；形式；類型；型式；活字；模式標本
south,南
drive,驅動；驅力
light,光；電燈
bank,組；銀行；庫；堤；暫存區；觸排
step,級；步驟；台階；踏板；走步；音級
word,字；字組；字語
remain,剩下
action,行動；動作；作用；戰鬥；開始拍攝
watch,錶；守視
focus,焦點；聚焦；震源
image,像；象；印象；形象；影像；鏡像
stop,止；停止；止動；止檔
option,選項；選擇權
building,廈；建物
visit,拜訪；就診
check,支票；核對；校對；檢核
official,正式的；法定的
article,文章；關節；技術論文
claim,要求；主張
photo,光；像；像片
minute,分；分鐘；微小的
leader,引導；領導者；引線；導線；導帶；指線
cover,蓋；封面；蓋子；掩蔽
sell,銷售
room,室；房室
charge,充電；加料；電荷；填料
kind,種類；實物
film,膜；薄膜；膠片；膠膜；軟片
statement,敘述；陳述；述語
road,道路
contact,接觸；接頭
board,台；板；董事會
decision,決定；判決；決策
risk,危險；風險；危險度
matter,物質；有重物
department,部門
needs,需求
break,破裂；轉折
bit,比；位元；鑽頭
date,日；日期
position,位置；安置
serve,伺服
interest,興趣；利息
stay,牽條
death,死；死亡
human,人
review,審查；評論；核閱
key,鍵；關鍵；沙洲；檢索表；電鍵
history,史；歷史；病歷；歷史記錄
term,項；期限；足月
space,空間；太空
series,統；系列；串聯；級數；職系；圖組；音列
goal,目標；目的
present,現在
address,地址；位址
age,期；齡；年齡；老化；年積
hit,衝擊；命中；點擊
benefit,利益；福利；效益；受益
quality,品質；乾度
management,管理
condition,情況；狀況；條件
attack,攻擊；衝擊；上升；發作；侵蝕；起音
source,源；來源；源頭；源極；流源；源點
role,角色
reach,到達；觸及；河段；河口
education,教育；教育程度
class,級；類；綱；分類；艙；階級；類別；類目；船級
choose,選取
press,壓；壓力；出版社；壓機；沖床
rule,規則
performance,完成；表現；表演；作業；績效；性能
field,場；現場；機場；欄；欄位；照野；圖場
products,產品
property,財產；特性；性質；財物；屬性
link,連結；連鎖；接合；連桿；鏈接；連句；鏈環；鍵合
stand,林分；起立；領座
model,模式；模樣；模型
activity,活動；作業；活性
pass,通道；道次；穿經；通行証
effect,效果；效應；功效
star,星；明星；星形
music,音樂
range,距離；範圍；幅度；全距；音域
store,倉庫；儲存；貯存；外載
tax,賦稅
period,期；期間；周期；週期；樂段
percent,百分比；百分率
organization,組織；體制；組織化
standard,標準；制式；標準型
amount,金額；數量
email,電子郵件
challenge,挑戰；攻擊
north,北
application,申請；應用；申請書
points,道岔
officer,官員；軍官；課員；甲級船員
join,結合；連結
club,棒節
staff,員工；職員；醫務人員；標桿
travel,旅行；行程；旅遊頻道
practice,實踐；實務
meeting,會議；會車
cut,切；切割；肉塊；挖方；結束拍攝
art,技藝
fund,基金
park,公園；停車；停車場；停駐
decide,決定
patient,病患；病人
air,空氣
network,網；網路；網絡；網格；網狀結構
college,學院
energy,能；功能；能源；能量
half,半；一半的
fire,火；火災
march,前進；進行曲；境界線
detail,細節；零件；明細
growth,成長；生長；成長量
sound,音；聲音；海峽
card,卡
produce,產品；生產；農產品
areas,面
color,色；色彩；顏色；色度
land,地；陸地
trade,交易；信風
kid,羔羊；小山羊
fan,風扇；螺旋槳；尾羽
mind,心靈；心智
mark,標示；標誌；記號；測標
click,點擊
front,鋒；前面；鋒面；前文；潮境
sport,畸形
effort,努力；工作量；作用力
stock,料；股票；存圖；存料
minutes,分
election,選擇
impact,衝擊；撞擊；碰撞
parent,母公司
training,訓練
credit,信用；學分
cent,分；音分
friends,圖書館之友
walk,行走
kill,壓制；退稿；斷線
phone,電話；音素
material,材料；物質；物料
terms,條件；用語；保險條件
investment,投資；投入
works,工廠；工作場
couple,聯結；偶合；力偶
fight,戰鬥
raise,上升
figure,數；圖；數字
die,模；晶片；模具；中模；壓模
pick,鎬；摘取；緯紗
carry,刊登；進位
chance,機遇
oil,油；石油
answer,回答；答句
device,方法；設備；裝置
character,文字；特性；性質；記號；字符；字元
match,匹配
solution,方案；溶解；溶液；溶化
approach,方法；接近；近海；取向；趨近
council,會議；委員會
campaign,戰役；運轉期
agree,議定
brand,品牌；牌號；烙痕
size,大小；尺寸
eye,眼；孔；眼睛
league,里格
hospital,醫院
picture,圖；圖像
heart,心臟；心索；翼網
situation,情況
purchase,購買；採購
search,尋找；搜索；搜尋
agency,機構；代理人；行動者
region,區；區域
target,目標；標的；靶
changes,修正表
china,瓷器；精瓷
section,組；節；段；樂節；剖面；截面
resource,資源
explain,解釋
career,職業；生涯
rise,上升；上坡；褲襠；拱高
june,小行星
sit,坐下
update,修正；更新
version,說法；版本
race,競賽；種族；急流；引水道
launch,發射
score,分數；配樂；摺痕
town,城鎮；市鎮
measure,小節；量度
features,特徵
moment,矩；片刻；動差；力矩
west,西
simple,簡單；簡單的；單純的
operation,作業；動作；手術；操作
bill,單；法案；帳單；喙；鴨嘴；地角
seek,追蹤；搜尋
demand,需求
cookie,訊錄；重磅炸彈
item,項；項目
app,應用程式；應用軟體
loss,損失；虧損；失落；損耗
select,選擇
vehicle,車輛；載具；賦形劑
manager,課長；管理者
unit,單位；單元
tool,工具
finish,修整；最後加工
saw,鋸
rights,權利
response,回應；反應；應變；響應；感應
relationship,關係；關聯
wear,穿戴；磨損；磨耗
skill,技能；熟練
publish,公布；出版；發佈
stage,期；節；站；級；階；齡；階段；階級；水位；分期
drop,落下；滴劑；還書箱；落砂
ability,能力
piece,件；片；部分；塊；布匹
track,大道；軌道；路徑；足跡；航跡；音軌；磁軌
message,訊息；信文
rest,休息；靜止；休止；休止符；靜止的
shot,鏡頭；火箭發射；細粒；90呎
choice,選擇；挑選
sense,感覺；指向；旋向
morning,早晨
mother,母
describe,描述；描繪
ground,地；背景；地上的；擱淺；接地
title,標題；礦權
client,客戶；當事人；客戶端
authority,機關；授權；權威；權限
addition,加；添加；加成；相加；加法；加添；增建工程
production,產品；生產；製造；產出；生產量
location,位置；區位；井位
contain,包含；涵容
code,碼；程式；密碼；代碼；編碼；符碼；電碼
environment,環境
subject,主題；主體；受試者
supply,供應
coach,教練；經濟艙；運動教練
treatment,處理；治療；加工；處置；療法
plant,設備；工廠；植物；電廠
capital,資本；國都；大寫；柱頭；大寫字母
drug,藥；藥物；藥品
compare,比較；對照
request,要求；申請；請求；申請書
limit,極限；限度
science,科學
foot,足；腳；呎
summer,夏；夏季；夏令
digital,指；鍵；數位；數字；指的；數位的；數位式的
district,區；地區；區域
host,主機；宿主；基質
society,社會
movie,電影
display,顯示；展示；陳列；顯示器；誇示
safety,安全；安全性
accept,接受；允收
protect,保護；防護
executive,執行官
difference,差異；差別
economy,經濟
committee,委員會
maintain,維持；維護
box,箱；包廂
represent,表述
e-mail,電子郵件
affect,作用；情感
fit,適；配合；符合；接合；突然發作；擬合
round,回合；圓的；圓形的；圓角
facebook,臉書
church,教會
draw,抽取；外縮
perform,履行
fail,失效
centre,中心
avoid,避免
gain,利益；增量；增重；增益；輸入量
style,風格；樣式；型式；式樣；花柱
sector,扇形；扇區
method,方法
prepare,預備
reading,讀數
owner,業主；擁有者
table,表；桌台
screen,屏；篩；螢幕；銀幕；屏幕
worth,值
cup,杯子；罩杯
teacher,教師
degree,度；程度；角度；等級；音級
paper,紙
fine,罰款；精細
recommend,建議；推薦
levels,階層
facility,設施
strategy,策略；戰略
letter,文字；字母；尺牘
platform,平台；地台；平臺；展示台；地臺；觀測平台
damage,傷害；損害；損壞；損傷
resident,住院醫師
disease,病；疾病
door,門；入口；車門；風門
attempt,試圖；未遂犯
clean,清潔
payment,支付；給付；付款
groups,群
function,功能；機能；函數
costs,費用
ball,球；鋼珠；滾珠；球狀體
document,文件
push,推；驅逐機
driver,主動；螺絲起子；驅動器
contract,合約；收縮；聘約
factor,因素；因子；係數；因數
purpose,目的
pressure,壓力
evidence,證據；憑證
determine,決定；裁定
east,東
wall,牆；壁
wish,願望
resources,資源
song,歌
internet,網際網路
culture,文化；培養
station,局；站；車站；地位；站台；棲息地；電臺
computer,電腦；計算機
commission,委員會；佣金
spot,點；斑；亮點；觀測；定點；斑點
lack,不足；缺乏
interview,訪談；面談；訪問法；訪談法
language,語言
fill,填土；填充；填料；緯紗
shoot,發射；炸測
consumer,消費者；用戶
judge,判定；評審員
bar,巴；棒；桿；沙灘；沙洲；條碼；小節；拉桿
island,島；島嶼；艦島；分隔區
parts,零件；配件
conduct,傳導
block,段；阻塞；阻斷；街廓；區組；地塊
catch,捉；擷取；捕獲量
sent,已發送
justice,公平、正義
express,表示；快遞；壓出
conference,會議；研討會
pull,拉
speed,速度；速率
animal,動物
doctor,博士；刮刀
association,結合；社團；聯想；關聯；結社；群系；星協
leaders,引線；導點
software,軟體；電腦軟體
train,列；列車
union,結合；工會；聯集；管接頭
web,蹼；腹板
agreement,協議；協定；一致性
felt,毛毯；氈；毛氈
sort,分類；排序
marketing,行銷
cell,格；胞；細胞；電池；油箱；網格
connect,連接；接通；接合
mobile,移動
middle,中間的
quarter,弦；四分之一；學季
blue,藍；藍色；藍曬
knowledge,資訊；知識
deep,深的；深淵；海淵
shop,現場；工場
income,收益
trust,信任；信託；信賴
tour,旅程
grant,獎助金
decade,十年；十進位
author,作者
population,人口；族群；總體；母體；種群
communication,溝通；通訊
attention,注意；專注力
expert,專家
candidate,候選者
throw,擲；落差
collection,收集；採集；收現；服飾系列
multiple,倍數；多發性
window,窗；視窗
prove,證明
attend,出席
camera,相機；攝影機；照相機
requirement,要求；需要；需求；需要量
gold,金；金色
scene,場景；事故現場
investor,投資人；投資者
budget,預算；預算經費
administration,管理；行政管理；施用藥物
operate,動作；操作
movement,運動；動作；移動；樂章；動程
blood,血；血液；血斑
weight,重；權；重量；權值；權重；權數；砝碼
investigation,研究；調查；調整；檢查；偵查
nature,本質
locate,定位
transfer,轉移；轉換；遷移；移轉；搬運；轉送；轉乘
confirm,確認
voice,聲音；語音
opinion,意見
arrest,拘提；拘留
prime,接觸；質數；啟始；注油
injury,傷害；損傷；創傷
analysis,分析；解析
trip,跳脫；旅次
revenue,收入；營收；收益；歲入；電費收入
seat,座；座位；座椅；底座
encourage,鼓勵
aim,瞄準
tree,樹；樹木；喬木；樹形
associate,組合
planning,計畫；規劃；計畫作為
touch,觸；觸感；觸覺
schedule,排程；進度表；生產時程；作業計劃
river,河流
insurance,保險；保證
fear,恐懼、害怕
gas,氣；氣體
exchange,交易；交換；互易
guide,指南；導引；導板；導件
artist,藝術家
beat,拍；節奏；節拍；搏動
loan,貸款；借貸；借閱
skin,皮膚；表面；表皮
reader,閱讀機；讀取器
rates,稅率
machine,機器；機械
competition,競爭
victim,受害者
cancer,癌
trial,嘗試；試驗；試用；試航
met,符合
connection,聯絡；連結；連接；連通
discussion,論述
variety,變化；種類；多樣性；變種；多變性；曲體
dollar,錢符號
exercise,演習；演練
ship,船；飛機
tip,端；尖；提示；頂端；尖端
ideas,創意構想
cash,現金
session,會談；上課時間
structure,組織；結構；構造
opening,開；開口；對頁
strike,拆除；走向；罷工；刮砂
task,工作；作業；任務；工作任務
respond,回應
struggle,鬥爭
handle,把手；環柄
text,文字；歌詞；文本
copy,文案；拷貝；複製品；複本
operations,作業
stick,駕駛桿
install,安裝
arm,臂；分路；軍械
offering,提供
asset,資產
cool,冷卻
balance,平衡；均衡；天平；結餘
button,鈕；按鈕；鈕扣
register,記錄；記錄器；登記簿；記錄儀
band,帶；段；樂隊；波段；沙洲；頻段；譜帶
commit,承諾
rock,岩石；搖滾樂
master,大師；主台；原件
fair,晴
construction,結構；建構；構造
protection,保護；防護
floor,地板；底部；下限；地面的；車廂地板
generation,產生；世代；生殖
pain,痛；疼痛
responsibility,責任；職責；反應性
spread,展開；擴散；價差；零散；展形；展布；離度
basis,基；基礎；基準；基底；基差
collect,收集
blog,部落格
mile,哩；英里；英哩
element,元素；單元；元件
spring,春；泉；春季；彈簧
leadership,領導；領導力
secure,保全
audience,觀眾；閱聽人；閱聽眾；閱聽者
feed,饋；飼料；進料；饋送
indicate,指示
conversation,交談
submit,提交
century,世紀
